24-09-16 12:48:00.270 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
24-09-16 12:48:02.746 [cluster-ClusterId{value='66e7dba98507ff48eff73462', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.pvyuh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=628894700, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-01.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000001d6, setVersion=152, topologyVersion=TopologyVersion{processId=66e28a91ffd53817d7f8a21b, counter=6}, lastWriteDate=Mon Sep 16 12:47:59 IST 2024, lastUpdateTimeNanos=7042583352700} 
24-09-16 12:48:02.746 [cluster-ClusterId{value='66e7dba98507ff48eff73462', description='Cluster0'}-cluster0-shard-00-00.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=609738500, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-00.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=152, topologyVersion=TopologyVersion{processId=66e28b70accd2a7ebaa09537, counter=4}, lastWriteDate=Mon Sep 16 12:47:59 IST 2024, lastUpdateTimeNanos=7042584080900} 
24-09-16 12:48:02.746 [cluster-ClusterId{value='66e7dba98507ff48eff73462', description='Cluster0'}-cluster0-shard-00-02.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=616312100, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-02.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=152, topologyVersion=TopologyVersion{processId=66e28cc7dfbbdc0b5beaabe9, counter=3}, lastWriteDate=Mon Sep 16 12:47:59 IST 2024, lastUpdateTimeNanos=7042584168700} 
24-09-16 12:48:02.746 [cluster-ClusterId{value='66e7dba98507ff48eff73462', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.pvyuh.mongodb.net:27017 with max election id 7fffffff00000000000001d6 and max set version 152 
24-09-16 12:48:04.679 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator' 
24-09-16 12:48:04.804 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7c682e26, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4ff074a0, org.springframework.security.web.context.SecurityContextHolderFilter@38cf4497, org.springframework.security.web.header.HeaderWriterFilter@3c8fe8ad, org.springframework.web.filter.CorsFilter@340fc1aa, org.springframework.security.web.authentication.logout.LogoutFilter@645d4639, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@7598d675, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@9d3a7a1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4df7b4ac, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@34a33343, org.springframework.security.web.access.ExceptionTranslationFilter@616f81b5, org.springframework.security.web.access.intercept.AuthorizationFilter@54286339] 
24-09-16 12:48:05.458 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
24-09-16 12:48:05.504 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '' 
24-09-16 12:48:05.554 [main] INFO  c.e.journalApp.JournalApplication - Started JournalApplication in 9.627 seconds (process running for 10.903) 
24-09-16 12:48:47.180 [main] INFO  c.e.journalApp.JournalApplication - Starting JournalApplication using Java 22.0.2 with PID 5920 (C:\Users\bhoir\Downloads\Springboot\journalApp\target\classes started by bhoir in C:\Users\bhoir\Downloads\Springboot) 
24-09-16 12:48:47.196 [main] INFO  c.e.journalApp.JournalApplication - No active profile set, falling back to 1 default profile: "default" 
24-09-16 12:48:49.281 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-09-16 12:48:49.422 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 124 ms. Found 3 MongoDB repository interfaces. 
24-09-16 12:48:50.515 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
24-09-16 12:48:50.531 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
24-09-16 12:48:50.531 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-09-16 12:48:50.531 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26] 
24-09-16 12:48:50.656 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-09-16 12:48:50.656 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3351 ms 
24-09-16 12:48:51.562 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.2"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/22.0.2+9-70"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='01mayurbhoir', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@3a6e9856], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4863c8ac, com.mongodb.Jep395RecordCodecProvider@56fda064, com.mongodb.KotlinCodecProvider@6cdee57]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.pvyuh.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ge9jd0-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@482f7af0], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
24-09-16 12:48:51.609 [cluster-ClusterId{value='66e7dbdb2d92d0102bad9238', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-16 12:48:51.790 [cluster-ClusterId{value='66e7dbdb2d92d0102bad9238', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-16 12:48:51.790 [cluster-ClusterId{value='66e7dbdb2d92d0102bad9238', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-16 12:48:52.714 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-02.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-01.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-09-16 12:48:53.429 [cluster-ClusterId{value='66e7dbdb2d92d0102bad9238', description='Cluster0'}-cluster0-shard-00-00.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=663652500, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-00.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=152, topologyVersion=TopologyVersion{processId=66e28b70accd2a7ebaa09537, counter=4}, lastWriteDate=Mon Sep 16 12:48:49 IST 2024, lastUpdateTimeNanos=7093265901200} 
24-09-16 12:48:53.429 [cluster-ClusterId{value='66e7dbdb2d92d0102bad9238', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.pvyuh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=678131800, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-01.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000001d6, setVersion=152, topologyVersion=TopologyVersion{processId=66e28a91ffd53817d7f8a21b, counter=6}, lastWriteDate=Mon Sep 16 12:48:49 IST 2024, lastUpdateTimeNanos=7093265339400} 
24-09-16 12:48:53.429 [cluster-ClusterId{value='66e7dbdb2d92d0102bad9238', description='Cluster0'}-cluster0-shard-00-02.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=679968100, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-02.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=152, topologyVersion=TopologyVersion{processId=66e28cc7dfbbdc0b5beaabe9, counter=3}, lastWriteDate=Mon Sep 16 12:48:49 IST 2024, lastUpdateTimeNanos=7093267131200} 
24-09-16 12:48:53.429 [cluster-ClusterId{value='66e7dbdb2d92d0102bad9238', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.pvyuh.mongodb.net:27017 with max election id 7fffffff00000000000001d6 and max set version 152 
24-09-16 12:48:55.771 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator' 
24-09-16 12:48:55.882 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7791ff50, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@46de118b, org.springframework.security.web.context.SecurityContextHolderFilter@6fbc7853, org.springframework.security.web.header.HeaderWriterFilter@2cc61b3b, org.springframework.web.filter.CorsFilter@55682482, org.springframework.security.web.authentication.logout.LogoutFilter@6785df10, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@684b26b7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3b2c8bda, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1b632442, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@10cb050, org.springframework.security.web.access.ExceptionTranslationFilter@57b130f6, org.springframework.security.web.access.intercept.AuthorizationFilter@459e120b] 
24-09-16 12:48:56.600 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
24-09-16 12:48:56.616 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '' 
24-09-16 12:48:56.651 [main] INFO  c.e.journalApp.JournalApplication - Started JournalApplication in 10.404 seconds (process running for 11.619) 
