24-09-05 12:11:18.118 [main] INFO  c.e.journalApp.JournalApplication - Starting JournalApplication using Java 22.0.2 with PID 8960 (C:\Users\bhoir\Downloads\Springboot\journalApp\target\classes started by bhoir in C:\Users\bhoir\Downloads\Springboot) 
24-09-05 12:11:22.781 [cluster-ClusterId{value='66d95292517d3514d5fc0355', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-05 12:11:22.796 [cluster-ClusterId{value='66d95292517d3514d5fc0355', description='Cluster0'}-srv-cluster0.pvyuh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.pvyuh.mongodb.net:27017 to client view of cluster 
24-09-05 12:11:23.339 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=cluster0-shard-00-02.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-01.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=cluster0-shard-00-00.pvyuh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-09-05 12:11:24.178 [cluster-ClusterId{value='66d95292517d3514d5fc0355', description='Cluster0'}-cluster0-shard-00-02.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=569945900, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-02.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=149, topologyVersion=TopologyVersion{processId=66d1f4f1893e4c5f4d9068f9, counter=5}, lastWriteDate=Thu Sep 05 12:11:21 IST 2024, lastUpdateTimeNanos=1093032428200} 
24-09-05 12:11:24.257 [cluster-ClusterId{value='66d95292517d3514d5fc0355', description='Cluster0'}-cluster0-shard-00-00.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.pvyuh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=667321300, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-00.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=149, topologyVersion=TopologyVersion{processId=66d1f3b9d37aa233afb2c855, counter=5}, lastWriteDate=Thu Sep 05 12:11:22 IST 2024, lastUpdateTimeNanos=1093113949600} 
24-09-05 12:11:24.288 [cluster-ClusterId{value='66d95292517d3514d5fc0355', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.pvyuh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=718982000, setName='atlas-ge9jd0-shard-0', canonicalAddress=cluster0-shard-00-01.pvyuh.mongodb.net:27017, hosts=[cluster0-shard-00-01.pvyuh.mongodb.net:27017, cluster0-shard-00-02.pvyuh.mongodb.net:27017, cluster0-shard-00-00.pvyuh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.pvyuh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000001d4, setVersion=149, topologyVersion=TopologyVersion{processId=66d1f2a0374aaa006d345cb0, counter=9}, lastWriteDate=Thu Sep 05 12:11:22 IST 2024, lastUpdateTimeNanos=1093141741600} 
24-09-05 12:11:24.288 [cluster-ClusterId{value='66d95292517d3514d5fc0355', description='Cluster0'}-cluster0-shard-00-01.pvyuh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.pvyuh.mongodb.net:27017 with max election id 7fffffff00000000000001d4 and max set version 149 
24-09-05 12:11:26.189 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator' 
24-09-05 12:11:26.282 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3ea2f72e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@57b33c29, org.springframework.security.web.context.SecurityContextHolderFilter@6adcf059, org.springframework.security.web.header.HeaderWriterFilter@1450ffa3, org.springframework.web.filter.CorsFilter@615ef20, org.springframework.security.web.authentication.logout.LogoutFilter@47ffdbba, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@319b1c77, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1c31de5d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2b90cc1, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@13390a96, org.springframework.security.web.access.ExceptionTranslationFilter@53e4a19e, org.springframework.security.web.access.intercept.AuthorizationFilter@5d404a3c] 
24-09-05 12:11:26.880 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
24-09-05 12:11:26.896 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '' 
24-09-05 12:11:26.927 [main] INFO  c.e.journalApp.JournalApplication - Started JournalApplication in 9.851 seconds (process running for 11.282) 
